url,price,address,images,date
https://www.kijiji.ca/v-house-for-sale/st-catharines/welland-great-location/1327066833,"$369,000.00","54 Northgate Dr, Welland, ON L3C 5Y4, Canada","[['https://i.ebayimg.com/00/s/MTEzNlg2NDA=/z/bFgAAOSwnMBaXf~8/$_59.JPG'], ['https://i.ebayimg.com/00/s/MTEzNlg2NDA=/z/De8AAOSwHYVaXgAA/$_59.JPG'], ['https://i.ebayimg.com/00/s/MTEzNlg2NDA=/z/qCMAAOSw8W5aXgAC/$_59.JPG'], ['https://i.ebayimg.com/00/s/MTEzNlg2NDA=/z/ZDcAAOSw-RFaXgAE/$_59.JPG']]","January 16, 2018 1:42 PM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/399-999-townhouse-for-sale-in-welland/1321118374,"$399,999.00","298 Silverwood Avenue, Welland, ON, L3C 0C5","[['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/tg4AAOSwY3daZBRh/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/b7IAAOSw6lRaZBRi/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/WUAAAOSwRE5aZBRh/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/rgwAAOSwuN5aZBRh/$_59.JPG']]","January 16, 2018 6:47 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/41-frazer-street/1290701619,"$1,290,000.00","41 Frazer Street, Welland, Ontario, L3C 1N3","[['https://i.ebayimg.com/00/s/MzU2WDQ3NQ==/z/yu0AAOSwSwVaY-Rn/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzU2WDQ3NQ==/z/MAsAAOSwRTVaY-Rm/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzU2WDQ3NQ==/z/KY8AAOSwDkpaY-Rn/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzU2WDQ3NQ==/z/NmgAAOSwryBaY-Rn/$_59.JPG']]","January 16, 2018 12:20 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/homes-for-sale-in-dain-city-welland-ontario-410-500/1321125667,"$410,500.00","34 Richmond Street, Welland, Ontario, L3B 5L6","[['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/0tcAAOSwzRFaZCJb/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/p7UAAOSwXsFaZCJb/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/pmkAAOSwZoZaZCJa/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/F5YAAOSwYNxaZCJb/$_59.JPG']]","January 15, 2018 12:15 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/homes-for-sale-in-prince-charles-welland-ontario-279-900/1321121615,"$279,900.00","21 Verne Avenue, Welland, Ontario, L3C 1Z6","[['https://i.ebayimg.com/00/s/MzI3WDQ3NQ==/z/d0sAAOSw6lRaZBcH/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/HHIAAOSwhfdaZBcH/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/WZAAAOSw1GlaZBcH/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/M1cAAOSwSuNaZBcH/$_59.JPG']]","January 15, 2018 12:09 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/798-000-2-storey-for-sale-in-welland/1300118646,"$798,000.00","23 Green Pointe Drive, Welland, ON, L3C 6Y2","[['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/THIAAOSwor1aY-py/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/0v4AAOSwLUpaY-py/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/wtMAAOSwkvdaY-py/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/pEAAAOSw1RVaY-py/$_59.JPG']]","January 14, 2018 8:47 PM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/320-000-2-storey-for-sale-in-welland/1310695936,"$320,000.00","78 Price Avenue, Welland, ON, L3C 3Y2","[['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/oKwAAOSwGHJaY~7P/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/3BEAAOSw5nxaY~7P/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/GqEAAOSwUd9aY~7P/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Pi4AAOSwJ0xaY~7O/$_59.JPG']]","January 14, 2018 11:46 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/769-000-2-storey-for-sale-in-welland/1318529832,"$769,000.00","617 Matthews Road RR#1, Welland, ON, L0S 1K0","[['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/6HAAAOSwR8haZA-u/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/91oAAOSwqaJaZA-u/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/okQAAOSwSKtaZA-u/$_59.JPG'], ['https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/d34AAOSwXsFaZA-v/$_59.JPG']]","January 14, 2018 10:46 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/homes-for-sale-in-dain-city-welland-ontario-410-500/1326630304,"$410,500.00","34 Richmond Street, Welland, Ontario, L3B 5L6","[['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/E3IAAOSwBOlaZDVW/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/bRwAAOSwsABaZDVW/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/11oAAOSw37BaZDVW/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/sFUAAOSwcuZaZDVW/$_59.JPG']]","January 14, 2018 10:18 AM"
https://www.kijiji.ca/v-house-for-sale/st-catharines/homes-for-sale-in-dain-city-welland-ontario-410-500/1326422237,"$410,500.00","34 Richmond Street, Welland, Ontario, L3B 5L6","[['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/bOcAAOSwNMVaZDQp/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/DAAAAOSwsZJaZDQp/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/9FcAAOSwXMZaZDQp/$_59.JPG'], ['https://i.ebayimg.com/00/s/MzE3WDQ3NQ==/z/OcYAAOSwJc9aZDQp/$_59.JPG']]","January 13, 2018 10:12 AM"
